custid,ct_dairy,ct_drink,ct_fastfood,ct_fruite,ct_house_prod,ct_makeup,ct_meat,ct_sauce,ct_seafood,ct_snack,ct_vegetable,coverage,g_paid,buyed_prod_num,hf_6-11,hf_12-17,hf_18-23,wdf_Sun,wdf_Mon,wdf_Tue,wdf_Wed,wdf_Thu,wdf_Fri,wdf_Sat,n_distinct(prod),ct_cov,vdays,day_mean_amt,day_cov,first_cnt.prod,second_cnt.prod,third_cnt.prod,first_money.prod_ct,second_money.prod_ct,third_money.prod_ct
C0001,0.39,0.61,0,0,0,0,0,0,0,0,0,0.18,5840,2,0,0,1,0,0,0,1,0,0,0,2,2.1789812480639945,1,5840,0,cheese/butter,softdrinks,NA,drink,dairy,NA
C0002,0.01,0,0.11,0.24,0.05,0,0.56,0,0,0,0.02,0.55,90168,9,0.28,0.72,0,0,0,0.24,0.05,0.71,0,0,7,1.8126624334665093,4,22542,0.6056786345209222,koreanbeef,apple/sweetmelon,fermentedmilk,meat,fruite,fastfood
C0003,0,0.1,0,0,0,0,0.5,0.23,0,0.18,0,0.36,9980,4,0,0,1,0,0,0.5,0,0,0,0.5,4,1.650927419097259,2,4990,0.011336381261507777,chilledlivestock,chocolete,softdrinks,meat,sauce,snack
C0004,0.07,0.19,0.15,0.12,0.01,0,0.17,0.05,0.07,0,0.16,0.82,201546,35,0.23,0.77,0,0.16,0.19,0,0.07,0.09,0,0.49,24,0.7624592828911866,9,22394,0.4612122059330104,beans,harddrinks,eggs,drink,meat,vegetable
C0005,0.03,0.02,0.13,0.04,0.36,0,0.29,0.05,0.03,0.03,0.04,0.91,93693,22,0.1,0.48,0.42,0.05,0.43,0.03,0.24,0.15,0.1,0,15,1.2628759901088447,15,6246.2,1.2652549599326333,chilledlivestock,beans,noodles,house_prod,meat,fastfood
C0006,0,0,1,0,0,0,0,0,0,0,0,0.09,3980,1,1,0,0,0,0,1,0,0,0,0,1,3.162277660168379,1,3980,0,bottledfoods,NA,NA,fastfood,NA,NA
C0008,0.38,0,0.12,0.02,0,0,0,0.08,0.24,0,0.18,0.55,42550,11,0.3,0.7,0,0,0.29,0.44,0.28,0,0,0,9,1.3159968065301593,4,10637.5,0.3035854079660282,chilleddairymilks,lattuce,artificialpowders,dairy,seafood,vegetable
C0011,0.61,0.39,0,0,0,0,0,0,0,0,0,0.18,17190,8,0,0,1,0,0.21,0.16,0.18,0.36,0,0.09,2,2.179608564575374,5,3438,0.5051142674416332,fermentedmilk,harddrinks,NA,dairy,drink,NA
C0012,0.07,0.08,0.24,0,0,0,0.41,0.06,0,0.14,0,0.55,53750,17,0,0.13,0.87,0.12,0.16,0.26,0.09,0.26,0.1,0,13,1.3650904129715378,9,5972.222222222223,0.6410283585059787,icecream,bottledfoods,cooky/cakes,meat,fastfood,snack
C0013,0.74,0,0,0.09,0,0,0,0,0,0,0.17,0.27,10650,6,0.82,0,0.18,0,0,0.65,0.18,0,0.17,0,6,2.3290348746396647,3,3550,0.8344306733939343,eggs,eidbleherbs,fermentedmilk,dairy,vegetable,fruite
C0015,0,0,0.42,0,0.25,0,0,0,0,0.21,0.11,0.36,46800,6,0,1,0,0,0,0,0,1,0,0,6,1.5171482174018582,1,46800,0,beans,bottledfoods,cookingoil,fastfood,house_prod,snack
