doc_num,contents_tagged
1,끼줍쇼에는/N 연예대상/N 수상한/N 김종민과/N 대/N 걸그룹으로/N 우주소녀/N 성소/N 밥동무로/N 출연/N 한끼줍쇼/N 녹화/N 강력한/N 예능/N 기운/N 김종민과/N 성소/N 연희동/N 한/N 끼/N 도전기/N 사람/N 첫/N 예사/N 않았다/N 전해졌/N
2,뮤지컬/N 영웅연출/N 윤호진/N 공/N 인기/N 예능/N 프로그램/N 무한도전/N 팀/N 역사/N 특집/N 형/N 이정열/N 리사/N 박정아/N 정재/N 허민진크레용팝/N 초아/N 이지민/N 외/N 관람료/N 석/N 13만원/N 석/N 11만원/N 석/N 8만원/N 석/N 6/N
3,가수/N 정준영이/N 첫/N 솔로/N 정규/N 앨범/N 발표/N C9/N 엔터테인먼트/N 관계자/N 정준영/N 공식/N 팬카페/N 등/N 7/N 0시/N 정준영/N 첫/N 솔로/N 정규/N 앨범/N 정준영은/N 약/N 4개월/N 공백/N 예능/N 프로그램/N 1박2일/N 복귀했/N
4,사진뉴시스/N 2TV/N 예능/N 1박2일/N 연예계/N 복귀/N 가수/N 정준영28이오는/N 2월7일/N 첫/N 정규/N 앨범/N 발표/N 소속사/N C9엔터테인먼트는/N 31/N 공식/N 팬카페를/N 정준영/N 첫/N 정규/N 앨범/N 1인칭을/N 7/N 일/N
5,자산어보/N 바탕/N 현재/N 바/N 생태계/N 확인/N 측면/N 예능과/N 정보/N 사이/N 삼시세끼/N 1박2일/N 정수/N 자산어보/N 김병만은/N 특화/N 존재다예능/N 의/N 산증인이라고/N 과언/N 김종민이/N 참여/N 것/N 흥미/N 롭/N
6,평범한/N 예능인/N 전락/N 그/N 이상/N 신선함/N 기존/N 예능/N 문법/N 파괴/N 발칙한/N 모습/N 식스맨으로/N 광희가/N 합류/N 양세형이/N 멤버/N 자리/N 예능프로그램/N 이/N 노홍/N 철/N
7,방송/N 2월/N 1/N 수/N 밤/N 10시/N 50분/N 예능대상/N 예능대세/N 한/N 끼/N 도전한다한끼줍쇼/N 녹화/N 강력한/N 예능/N 기운/N 김종민과/N 성소/N 연희동/N 한/N 끼/N 도전기/N 그려졌다예능대상/N 김종민과/N 예능대/N 성소/N 활약/N 2월/N 1/N 수/N 밤/N
8,의/N 개국공신/N 중/N 한명/N 정형돈/N 건강상의/N 이유/N 하차/N 결정한/N 것/N 식스맨으로/N 광희가/N 합류/N 양세형이/N 멤버/N 자리/N 무한도전/N 멤버들/N 무한도전/N 이/N 노홍철을/N 거/N 노홍철/N 무한/N
9,예능/N 한끼줍쇼/N 만났다한끼줍쇼연출/N 방현영에는/N 연예대상/N 수상한/N 김종민과/N 대/N 걸그룹으로/N 우주소녀/N 성소/N 밥동무로/N 출연한다한끼줍쇼/N 녹화/N 강력한/N 예능/N 기운/N 김종민과/N 성소/N 연희동/N 한/N 끼/N 도전기/N 그려졌/N
10,방송/N 2월/N 1/N 수/N 밤/N 10시/N 50분/N 예능대상/N 예능대세/N 한/N 끼/N 도전한다한끼줍쇼/N 녹화/N 강력한/N 예능/N 기운/N 김종민과/N 성소/N 연희동/N 한/N 끼/N 도전기/N 그려졌다예능대상/N 김종민과/N 예능대/N 성소/N 활약/N 2월/N 1/N 수/N 밤/N
