basket_id,items
1,bread
2,laundrydetergent
3,softdrinks
4,"fermentedmilk, chilledlivestock, cooky/cakes, mushrooms"
5,"beans, mushrooms"
6,otherreadymadefoods
7,"bottledfoods, koreanpork"
8,"chilledagriculturalproducts, eidbleherbs"
9,"fruitvegetables, rootvegetables, beans, mushrooms, eidbleherbs, artificialpowders, banana/importedfruits"
10,"candy-gum, cooky/cakes"
11,othervegetables
12,"milk, chilledseafood, cereals, mushrooms, apple/sweetmelon"
13,ramen
14,"fermentedmilk, processedlivefish, harddrinks"
15,"milk, rootvegetables, eidbleherbs"
16,tea
17,koreanpork
18,banana/importedfruits
19,ramen
20,chilleddairymilks
21,"eidbleherbs, sweeteners, banana/importedfruits"
22,beans
23,"milk, cheese/butter, eggs, kitchen/housedetergents, tomato/plum/melon"
24,softdrinks
25,"chilledlivestock, beans, softdrinks, strawberry/peach/, koreanpork"
26,chinesecabbages
27,"chilledagriculturalproducts, chilledseafood, driedfish, koreanbeef"
28,softdrinks
29,harddrinks
30,beans
31,strawberry/peach/
32,"chilledagriculturalproducts, softdrinks"
33,"wildvegetables, banana/importedfruits, laundrydetergent"
34,"lattuce, processeddryfoods"
35,"otherlivefish, livefish, fruitvegetables, rootvegetables, chinesecabbages, wildvegetables, mushrooms, eidbleherbs, otherbeverages, harddrinks, fruitvegetables, rootvegetables, mushrooms, eidbleherbs, artificialpowders, milk, fruitvegetables, othervegetables, harddrinks, harddrinks, banana/importedfruits"
36,"cooky/cakes, pear/kiwi/grape"
37,snacks
38,"beans, mushrooms"
39,"cooky/cakes, chinesecabbages, beans, wastepapers"
40,cooky/cakes
41,snacks
42,softdrinks
43,otherlivefish
44,"cheese/butter, noodles, softdrinks, bottledfoods"
45,milk
46,"fermentedmilk, otherlivefish, fruitvegetables, chinesecabbages, wildvegetables, mushrooms, eidbleherbs, otherbeverages, harddrinks, apple/sweetmelon"
47,cooky/cakes
48,"milk, otherlivefish, beans"
49,"otherbeverages, harddrinks"
50,fermentedmilk
51,lattuce
52,banana/importedfruits
53,banana/importedfruits
54,apple/sweetmelon
55,cheese/butter
56,dryfruits
57,"rootvegetables, strawberry/peach/"
58,milk
59,mushrooms
60,minorcereals
61,koreanchicken
62,othervegetables
63,otherbeverages
64,"fruitvegetables, rootvegetables, softdrinks, wastepapers, ketchupandmayoneise, koreanbeef"
65,"cooky/cakes, harddrinks"
66,"chilledagriculturalproducts, ramen, instantfoods, laundrydetergent, dryfruits"
67,milk
68,ramen
69,"bread, cooky/cakes, ketchupandmayoneise"
70,"milk, wastepapers"
71,beans
72,chilleddairymilks
73,bakery
74,minorcereals
