neg_words,value
pushed,-7.510737770326013
addresses,-5.6200074301246286
promising,-4.492582647698322
repeatedly,-4.308569525140504
wakes,-4.183010323485848
return,-4.099844727576784
consistently,-4.0567778059451225
money,-3.1331733916468654
back,-3.047479125670715
contacted,-2.983205524099807
versions,-2.829245812160994
sucks,-2.6068664263868566
utter,-2.53478773675558
told,-2.406659719118007
horrible,-2.3350057820979786
refund,-2.326766299328204
slow,-2.315759943896519
terrible,-2.148593715754737
wouldnt,-2.1449304099487265
page,-2.0962086660512207
received,-2.0894829350940793
freezes,-2.072329491673743
list,-1.991921627838908
calls,-1.9892310565457534
useless,-1.9540906752522729
swindled,-1.9165464395775726
entire,-1.8728109220206373
activate,-1.86912553787753
worst,-1.8643141858182033
fill,-1.8381359605475962
work,-1.8201555020644935
reset,-1.7209535074734355
stopped,-1.7124050875386314
imei,-1.6832024423134417
turns,-1.6817897072633476
support,-1.6791062039126503
returned,-1.6519253593271543
warranty,-1.6430179672084952
buyer,-1.6402428361180046
waste,-1.5707310843576312
months,-1.5334992129523661
elses,-1.4997869385076612
returning,-1.4906383137194732
disappointed,-1.4871164793875415
bars,-1.4756128206650059
false,-1.4601287037692108
started,-1.4572656724404391
happening,-1.4452963838902535
doesnt,-1.4443086738765707
turned,-1.4339510600049548
charge,-1.4238672155210519
registered,-1.4111041517019747
language,-1.391955514503834
advised,-1.3877880531521025
zip,-1.362496391484396
fixes,-1.3583391813112884
turn,-1.3385953082614592
bad,-1.3274608792070728
odd,-1.3120158238386068
shut,-1.2884004538916909
random,-1.2720594986870004
person,-1.2644616469394123
fourth,-1.2497794943610583
sending,-1.2485257886837058
flaw,-1.234237802044329
practice,-1.2070861441154364
phone,-1.2049073833864168
working,-1.2021052643141221
send,-1.1969212846901125
happened,-1.1897135829624232
ringtone,-1.1879831669204406
broke,-1.1475765348985887
description,-1.143796979755554
buy,-1.122570374485957
afternoon,-1.1189208199055893
equipment,-1.0811436548888191
card,-1.071892005083032
refused,-1.071136823200038
speaking,-1.0590807494115984
mistake,-1.0491289890238498
speaker,-1.0303296981924246
pay,-1.021009274726438
shows,-1.016811801284851
mad,-1.0082233468002424
opened,-0.9856801917130384
soft,-0.9830719117169909
labeled,-0.958747716856892
crashes,-0.9506727066203025
