neg_words,value
adverse,-320.2337807895215
accomplish,-312.6389257169015
apology,-275.8088271223028
applaud,-226.2933609851876
boasts,-222.34102868119973
artists,-205.3715050673811
addresses,-200.2150010965479
amazoni,-191.4143893711112
ainol,-187.89496092972402
accesses,-180.95235831148557
comparisons,-180.58341494541756
adddelete,-166.90756659991334
arrange,-165.25845201915737
aka,-163.87725480037892
admitted,-157.36917158666012
blocks,-156.1608765110026
aarp,-153.85423598047308
averaging,-153.22739791543142
annoys,-151.7754775146202
americaits,-141.13409190904787
amazonit,-138.5626172227185
againthe,-128.7982399634044
dates,-120.93619815334566
adhesive,-119.99495989234889
compromising,-119.98531908804183
copied,-118.20031382842444
alike,-118.04271162740777
alerts,-115.4798514774293
adventure,-114.42494714852873
cared,-111.72050759255372
dependent,-111.28101458973227
accessoriesin,-109.59498201910907
bubbles,-108.3555914132456
collar,-108.09640588624909
ancient,-107.37279740608106
begs,-106.25965498034982
buildquality,-104.99827059964542
allover,-104.79726783847656
daughter됛챪,-101.07489406539996
antutu,-98.53128362168563
contracting,-97.54701082334327
ambulance,-94.58259395124999
bonkers,-93.9541390166879
brightnessto,-93.71230536747497
compensated,-92.48175278778278
caselessexcept,-91.2057447148059
enemy,-91.03844555637725
composing,-90.52183001058451
cnn,-90.18537877368216
androidify,-89.02998564113544
accent,-87.51385152979451
animated,-86.341121604453
accessoriesi,-85.86397812491765
asi,-85.48735820524848
adaptor,-85.2377901417388
applies,-83.98540335937076
anuncio,-82.97320577518906
authors,-81.80912834276528
depend,-79.86030797554892
competitors,-79.22141531382097
complainti,-77.09001089113016
deafening,-76.37739308265652
angry,-76.04522170845866
accurately,-75.83413772026475
approximately,-74.8135431766809
minutesthe,-74.56398651344644
depending,-74.48317902374593
deception,-74.37085347101778
absulotly,-74.10158015579252
discussionas,-73.47114104220117
loyal,-73.44964225621582
bland,-73.2023293359122
bribe,-73.0187039733183
arising,-72.45994551510127
altogether,-71.83837761682149
consumers,-71.46116421576325
agree,-71.24172273486899
increase,-69.29293797777136
cruel,-68.89310558631742
center,-68.73883777044273
deploying,-68.3514063888005
drives,-67.86282471135615
againthird,-67.59605724040472
checking,-66.71164024749638
atoz,-66.62517302561056
curse,-65.81208360896751
breakdown,-65.54254397933222
understandablemy,-64.69031416383251
enabled,-63.249522080491765
heave,-62.65045651663955
bare,-62.45580423601485
deservesi,-62.03231273492938
bits,-61.58328533437902
aggravated,-61.470287378409786
allit,-61.216516393580456
bankanother,-60.740375719014196
abruptly,-60.17848149805015
assuming,-60.112189507274174
blanket,-59.88949641781142
pixelsboomsoundi,-59.68225211342573
damm,-59.61297564808408
quaility,-58.56591838536709
suffer,-58.318509897841665
cpuit,-58.03904595666695
accident,-57.889248914329855
activity,-57.862524114576644
autonomy,-57.66891220288241
athms,-57.58852768143127
chipped,-57.04622461543182
andor,-56.4638450550056
nonstandard,-55.544705350257196
deeply,-55.36990251053875
occur,-54.43443320621617
aweful,-54.35395089258842
dealsphones,-54.25933324078348
amazons,-54.200468412476646
annoyed,-54.07804901295602
againthey,-53.26669569139365
behave,-53.24227275583901
king,-53.139036736945435
eclectic,-52.99067596572587
elsepeople,-52.95916544998846
caharger,-52.85402413283742
depths,-52.768768465101545
hair,-52.75254867469366
bbb,-52.26705281251292
allplease,-52.16437926941965
backthis,-51.68967202646533
bounced,-51.683079645562216
amazondont,-51.20698710337417
eof,-50.913857122736786
againin,-50.60109870167749
graphic,-50.053853567903104
bet,-49.95433730072258
deliberately,-49.670422647775474
achieve,-49.539784439490404
brotherwho,-49.442303693921055
centers,-48.727212089214184
animal,-48.40827647304948
ecobee,-48.3119808028715
bandwagon,-48.07728897158311
experts,-47.852948773563675
commentsapps,-47.81786527424201
bloody,-47.735487518699
relative,-47.640680484602555
amazonso,-47.342224211453484
doubtful,-47.29347886754141
jailbroke,-47.155064992558486
insane,-47.070693347143475
barsdots,-46.216347028010865
albeit,-46.10525844531451
issuesui,-45.59711873976843
contained,-45.53549440677751
chat,-45.44147250606284
gamesin,-45.26678503455535
anymorethis,-45.103369537352826
emerging,-44.94315688073775
alternate,-44.78976766223848
layeris,-44.627603622195885
paused,-44.507549346800424
ebay,-44.44161802415235
annoying,-44.41055662104848
dnabutterfly,-44.316249813426374
boardapparently,-44.10460235880716
begin,-44.03785505433871
aggravation,-43.98492377077884
conclussionstheres,-43.89318930892714
are됛,-43.655721953541565
hipster,-43.53791117197419
blame,-43.09245838396926
travelthis,-42.92851360878563
bedefinitely,-42.87976102430468
euros,-42.560737836619346
flys,-42.53642003069952
ane,-42.23604061340417
breaks,-42.022505624924726
noises,-41.996829029263544
brain,-41.7095711740232
blinding,-41.501729790185706
continual,-41.49266583701596
frustratingly,-41.39800313718237
boxso,-41.38571754223045
disappeared,-41.292111293002584
electronicsanyone,-41.21412393064133
htci,-41.16249133023453
comaptibility,-41.0843225982355
advised,-40.99308170821362
electronicsnow,-40.9236497175555
compartment,-40.904556516583185
fragility,-40.831604294147475
availability,-40.81655455714372
july,-40.74260188562197
agreeing,-40.72384845183628
immeditaly,-40.38387018969379
common,-40.364758314801044
feetfacts,-40.0917823964179
character,-40.05346146198347
caused,-40.051419296444315
goal,-40.029212180663876
nowfinal,-39.950187297648135
burner,-39.79581620935346
incompetent,-39.47975209944511
cares,-39.4277455885588
walsh,-39.298140035802206
effect,-39.17212889560682
defected,-39.164180559014355
blocky,-39.14538960131327
authorized,-39.043770352075
batch,-38.87203380112498
alternatives,-38.59662630474929
designconseverything,-38.51884775256991
awesomeamazon,-38.39724392935188
plastichas,-38.3045780080525
branch,-38.2312942754344
slotprossleek,-38.150691767767526
emoti,-37.975337144448645
experienceis,-37.96627018153749
designed,-37.901427983116484
captured,-37.70820510871742
bothalso,-37.67556196258803
claim,-37.46559250810426
falsely,-37.227777995859554
counter,-37.17762245230783
alarmed,-37.06309468592421
logged,-36.92284135038935
claro,-36.861432542916916
beaten,-36.712643188026966
consume,-36.52120971242888
discover,-36.48810609270065
aclarar,-36.41729604635068
videosgreat,-36.30912755730065
europeit,-36.28764971366496
bankrupted,-36.284639806325856
bull,-36.26493537222314
blinkfeed,-36.13995046163244
dimpled,-36.02873611732902
asap,-35.87414112485121
cardphone,-35.84513539269341
announces,-35.77136195870807
cure,-35.71609022800473
