neg_words,value
slowness,-1.5011957840123429
limiting,-1.5011894848361425
groove,-1.5011708266357746
engage,-1.501142279161683
discontinuing,-1.5011389087449183
depending,-1.4461838074541442
apology,-1.4459859290616721
carpet,-1.445719024094695
disgruntled,-1.4454254019539168
explanation,-1.4452649239567792
hypothesize,-1.4450253778796236
whomever,-1.4450171940010594
voltage,-1.444987951398038
toi,-1.444952626117632
jumping,-1.444921508393181
scuff,-1.444915302910951
returnclaim,-1.4448748060422552
loosely,-1.444856766114069
refurbishes,-1.4448394489349357
reflect,-1.4448073143910904
paused,-1.444787108081755
possession,-1.4447828068753101
phoneitem,-1.4447736619416232
depend,-1.4403100472796662
accomplish,-1.411221442368405
annoys,-1.4109530959855836
anxiously,-1.4107393555702037
brakes,-1.4105247215848555
changedthe,-1.4103249696781595
zillion,-1.4102181307632704
ughhh,-1.4101851051782976
trial,-1.4101419561171138
deliberately,-1.4100931054815318
translates,-1.4100882165669997
synched,-1.410025524512255
superannoying,-1.409940004993035
slips,-1.409862854793219
dozenjudging,-1.4098287920802566
slightest,-1.4097835640757024
slides,-1.409699293163479
expires,-1.4096967339323738
shiny,-1.4096171420450174
grrr,-1.4095572683363577
seriouslyoh,-1.4095393031185084
rubberized,-1.4095050873711985
habit,-1.4094828829213835
pedals,-1.4094047538593124
measly,-1.4093949231388083
misunderstands,-1.4093823612751775
mellow,-1.4093732076356562
melody,-1.40937106700556
occur,-1.3858127817203676
resorted,-1.3857248982573787
streak,-1.3856908254773435
waived,-1.3856802287321697
accesses,-1.3643827710511294
backwardthe,-1.3642151608669817
amazoni,-1.364088417826
conveniently,-1.3640646578770033
weve,-1.3639448617971761
dialer,-1.3639423388699743
weirdits,-1.363914945849182
bayi,-1.363904573109435
catalina,-1.3638392143173683
disables,-1.3638308998822488
tooi,-1.363822873109126
thisupdate,-1.3637744758974781
cheesy,-1.3637702604214783
soundhound,-1.3637354600686706
island,-1.3637275770245516
flawsif,-1.363719337848767
resolves,-1.3637050789047347
officially,-1.3636963547768057
walked,-1.3636673055329303
topside,-1.3636518567962175
command,-1.3423602697569825
agreeing,-1.34088462215902
ownershipi,-1.34083385209093
troubles,-1.3408102609193364
slogan,-1.3407996394505215
cal,-1.3377094137571985
clockbecause,-1.3375624978809475
elseshe,-1.3374090333102526
worksso,-1.3372982198070225
woman,-1.3372844018789327
whatonline,-1.337261736687874
literallyit,-1.3372610362430082
wantnow,-1.3372318867793527
twicei,-1.3371954742732974
log,-1.3371739626506396
speaks,-1.3371571022389988
sotwo,-1.337117149379275
maze,-1.3370953892627104
soooooooooooooo,-1.3370805842430944
recalibrated,-1.337052366475396
nonenglish,-1.3370453719512811
phoneyoud,-1.3370298698370533
org,-1.3370189026227943
phonenow,-1.337017668322693
adddelete,-1.3166454915048114
carried,-1.3163592003736475
viewable,-1.3161156429494731
funnyin,-1.3161089800700012
pretend,-1.3160875875787392
jumped,-1.3160790912857756
magically,-1.3160668357017022
picky,-1.3160657174003292
artists,-1.2912581608042952
companywhats,-1.29097561697443
deduct,-1.2907124453433005
discuss,-1.290557670673388
walsh,-1.2905234077023482
trained,-1.2905001816433403
theft,-1.2904705861968468
disgusting,-1.2904422598822909
sweet,-1.2904322443552445
stunned,-1.290386735253953
dispute,-1.2903483996167486
shady,-1.2903392524208885
scamming,-1.2902931660815988
ripoffs,-1.2902465863846078
infuriated,-1.29016489059011
remedy,-1.2901347646909065
instore,-1.2901326178676764
nexta,-1.290125960838274
legal,-1.2901164411258845
eager,-1.2757083306492465
emerging,-1.2755931676793297
financial,-1.2755025036961802
helping,-1.2753490545263941
unhelpful,-1.2753110935848047
hopelessly,-1.2753067850381334
understandablemy,-1.2752867841117546
issueanyhow,-1.2752782995425498
notifying,-1.2752551226283795
couldve,-1.2674695666315767
gbmy,-1.2386902084256541
idleness,-1.2386139920573775
itexcept,-1.2385610016771074
stranded,-1.2385252493345564
kiddingthe,-1.2385245683192827
secret,-1.2385211981417799
perform,-1.2385085921971277
addresses,-1.217765722099351
adverse,-1.2109481143145593
assuredly,-1.2107610239525053
caredfor,-1.2105785517378505
wrappers,-1.2104780038742997
wizard,-1.2104714238467853
wires,-1.2104558753983234
willingness,-1.2104169111102465
void,-1.210380198362296
cosmetically,-1.2103737006949629
vetting,-1.2103374907423095
unfairly,-1.2102882662916294
umbrella,-1.2102340018556537
datathis,-1.210195789773395
ties,-1.2101088225464047
degree,-1.2100441755763807
simfree,-1.2099834630762463
registration,-1.2099135379148698
dishonest,-1.209874205349858
productsthis,-1.209853868683303
primeboth,-1.2097860472022137
dogeared,-1.2097536219536023
preownedi,-1.209716501404141
enclosure,-1.209657970274741
outright,-1.2096539512856546
obligation,-1.2095984756255806
established,-1.2095781821302465
nonstandard,-1.2095464044041766
misrepresented,-1.209495105058811
incl,-1.209494604375747
meid,-1.2094606247306154
itselfthe,-1.2094519944438344
macxpert,-1.2094379420733676
jacks,-1.209430452410415
lifted,-1.2094263298282226
boasts,-1.2086009173937693
cameral,-1.208430981076326
comical,-1.2082092896063776
displaythis,-1.208052868009078
toddler,-1.2078087956987629
scrolled,-1.2077699085633131
reviewpiece,-1.207726084803455
fly,-1.2077252756941117
reviewi,-1.2076755652790763
processthe,-1.2076233923647943
fool,-1.2076184821299671
processed,-1.207565393818618
gripe,-1.2075216691765729
problemthe,-1.2075087402150717
halfway,-1.2074647704146528
okayuntil,-1.2074460445543755
horribleoh,-1.2074241298657094
milliamp,-1.207405746538789
megaixel,-1.207384762464311
manufacturerlong,-1.2073668334561656
barsdots,-1.1931926233122219
wellcons,-1.1930380438253967
escape,-1.1930173093336638
planpros,-1.192939980737995
pauseslocks,-1.1929156472730658
godsend,-1.192913205488326
notable,-1.1929007575329136
hopeful,-1.1586527666176252
hurt,-1.1586141349838825
promises,-1.1585845062809628
liable,-1.1585785548938758
accessoriesin,-1.157474771971759
blockswhen,-1.1574355185197418
blured,-1.1573819018575722
forums,-1.1573532151392611
jam,-1.1573161275346346
photosfor,-1.1572738561135476
saythey,-1.157267189492287
sfor,-1.1572666576556552
virtual,-1.1549694261069328
vetts,-1.1549651995608712
wikipedias,-1.1549540211577318
utilizing,-1.1549533640982899
worded,-1.1549351842194597
ustelcel,-1.1549337509364233
usedthere,-1.1549063592947588
underneathif,-1.1548702498315282
tracfonetracfone,-1.1548274617621552
thiseven,-1.1547761316377374
telecommunications,-1.1547193569269496
agreements,-1.1546121229375033
slimthere,-1.1545401420080093
safelink,-1.1544617209502432
rico,-1.1543780021413441
recordsbtw,-1.1542533848560057
begini,-1.1542385623885656
puerto,-1.154118872324056
buried,-1.1540898701832643
businessman,-1.153954662390132
oneway,-1.1539454550416821
oblivious,-1.1538601174658654
carlos,-1.1538335329197884
misery,-1.1537737254294211
celluar,-1.153702555086726
consumerfriendly,-1.1536322124956788
corporation,-1.1535669969588531
mansee,-1.1535557656919342
islands,-1.1534631765237906
cronology,-1.1534575652352572
discounts,-1.1534317415543254
insteadi,-1.1534287332207454
expiration,-1.1534185671948751
helpfulyouve,-1.1534071589755133
breaker,-1.1427862838507485
distorted,-1.141664714463314
alike,-1.1216045481612074
