pos_words,value
aboutbattery,993.8598298008826
absorption,897.5882066961544
accommodate,670.2841331180033
allthe,666.1905356966129
accustomed,645.892046563248
allconclusion,632.843542921557
anywhere됛o,616.2236224124514
afterthought,478.9111489161502
beautifully,474.9197611694519
agt,430.7022349841533
blog,347.8111422458174
accidentially,332.6012661411743
alongside,328.54516111844333
anymorei,259.58123842217833
amps,234.61000983201035
acclaimed,231.30022064237565
advocate,217.4216658310955
brightnesscall,199.3336288827127
cleverly,194.96735881973657
canon,181.39107868703982
accurate,180.0833289694653
accelerometer,179.36527081985582
begini,169.29127181467766
blazing,168.63407862335998
carpet,166.00042275361815
alive,165.2330385823865
announcements,160.6664047276238
apple됛챪,154.2519383714812
calender,150.07657452969602
chargerthis,149.1790974670948
aluminium,147.93791925896085
amazingthe,140.86166236057778
allowing,140.65832488045837
companywhats,138.28872742837112
calculations,135.7425024347905
chattering,133.36528069195188
chromebook,127.33537274934648
cad,125.58756777987654
frontend,124.885866112676
boosters,122.04998044990762
informationit,116.76282153261296
batter,112.94241245440794
builtone,112.75727018939634
baked,112.21872641752012
agethe,111.88615530735083
angles,110.23081628446803
goodsof,109.04756056115106
dozenjudging,107.42007000547642
adjustments,107.33734952972256
adapter븕,106.43613658357604
atadsjbe,106.24515891009955
complains,105.05622223782979
daysso,102.86168976934437
blessing,100.29863228442704
lists,99.79817322178265
antennae,99.55666315220094
modify,96.86638973639937
alter,96.82813936668462
adds,96.69632012798986
carried,95.12254408634766
clipping,94.64696418860846
accordinglyupgrading,94.51236360430332
ally,94.00079849323629
antiquated,92.60408794635525
audiophile,92.43952427574011
aah,91.03714448222868
awkward,89.81721282012022
java,89.78264715980777
timeeverything,89.59757762697822
dslrsizethe,88.52168339179609
farther,87.39588419009588
androids,87.19234766426405
aiming,85.01667680499368
arirang,84.50589567466264
amazonok,82.3863477523585
alarms,79.8379352918561
crank,77.10943897993565
amaizing,75.02128395883344
absolutamente,74.86933133069942
caboose,74.65360787454478
batterly,73.60170362466539
noticing,73.41441372900401
accounts,71.7776359024353
funeral,71.08674932322879
acquainted,70.93664052792309
grandfathered,70.3395445027509
casethe,70.12293797127398
androidwide,70.12178823551754
afffordable,68.64088757466398
certainty,68.15019798480378
forgot,67.40127070942364
aslo,67.38456207636736
appthat,66.57433080426595
barnyard,65.2136748377785
impress,64.9362587545599
doubtfulgripes,63.793749559833174
alternativesthis,63.44321657397193
backs,63.30782476645198
invariable,63.235654060061236
literallyit,62.34597440864525
cores,61.956503832469195
automation,61.77335855583392
beltim,61.0320474576082
alcatel,60.05214377680098
coldstartstorage,59.17333880080514
hooking,59.09187471971305
instance,58.80777320988011
camerafeels,58.53253534855613
airvoicewireless,58.45752978356744
restricted,58.20736665815552
blazingly,57.50951374485401
capture,57.37594519679581
dolphin,56.55021380335964
disagree,55.77234445033796
lengths,55.69125316767993
appnone,55.58192171490331
compliment,54.82611655209153
manufacturerlong,54.37166530160661
amateur,54.0984003377924
approx,53.844426739590446
begins,53.15561222492143
backing,52.86172312363031
csi,52.517294060255665
blemish,51.98115373332979
collect,51.39668791885088
chargerport,51.34995704893872
customizations,51.15594936381915
nyc,50.973049904615756
admit,50.57387083376153
bear,50.30535734262979
disappointednow,50.019144950681394
advanced,49.95343978048783
deeper,49.93959025331891
corners,49.75705933347416
flicker,49.51385981558845
lauded,49.406792946054935
etcpicture,48.43233320321591
casehttpwwwamazoncomgpproductbhvvikrefcmcrrypprdttlsol,48.40920721100008
amazingscreen,48.29670028672784
barrier,48.1823959702674
absence,48.08927000862203
