"","x"
"news",27.3718644686921
"amoled",11.2074575263646
"sharpness",10.5871413377834
"implementation",10.5289135785552
"intrusive",8.65693876024513
"selfies",7.71823813327715
"great",7.08994479863986
"remote",5.44948973759755
"eyes",5.44085238364496
"love",5.20194915029884
"whatsapp",5.16156343698009
"kitkat",4.78270325263312
"fits",3.5998986467708
"perfect",3.56271594207081
"easy",3.4960592921766
"pro",3.45611323175782
"impressed",3.28522685821892
"windows",3.22246893887612
"fast",3.10530405068163
"loves",3.08834257219837
"swiping",3.01123630121609
"pleasantly",2.96774978528449
"works",2.85541119410076
"popped",2.83128747105467
"price",2.80756263521691
"responsiveness",2.78437941478226
"amazing",2.77182253663196
"excellent",2.66685894626841
"android",2.53102296981322
"mei",2.49124847536324
"stream",2.44225470169228
"pair",2.4362583578962
"loaded",2.41359612498748
"meaning",2.30959863105506
"feels",2.30923279452225
"arm",2.14159646048345
"ability",2.13841955342413
"drag",2.12801888911061
"moto",2.12737994299237
"desk",1.98959639717501
"fantastic",1.89651805053223
"section",1.88443267930183
"locations",1.86419462460167
"content",1.82277488150581
"autofocus",1.77513040123071
"awesome",1.76498291976566
"europe",1.71731666136722
"building",1.70326063953762
"processor",1.68370342399862
"grip",1.62281374923026
"youve",1.60464735930318
"crystal",1.57505428443841
"loving",1.52629652771158
"wonderful",1.49897581735672
"everyday",1.4963564119712
"deep",1.47804546386311
"nice",1.4379010201955
"handled",1.42168535869483
"outlet",1.37919660386262
"breeze",1.35236798254229
"monster",1.34036726819782
"terms",1.28352270955809
"galaxy",1.27432155371965
"running",1.26821964176778
"accessories",1.26639890464151
"freedom",1.23696792499414
"idk",1.2174800619818
"listen",1.17211639421928
"sharp",1.1472992484107
"suffice",1.14032805732507
"bit",1.13428933600654
"happy",1.10737236140853
"trade",1.1069872274922
"drawback",1.09804103256718
"frontfacing",1.09185433895658
"display",1.09092134343965
"bells",1.07321051979088
"surprised",1.06900755376006
"recommend",1.06083174838624
"ways",1.05506345478088
"retail",1.05173541176502
"life",1.04230939986948
"siri",1.04161814491083
"easily",1.04008342277404
"beautiful",1.03619054440794
"vendors",1.03565051035567
"smartphone",1.02208201235823
"moderate",1.01857046570611
"areas",1.00892219810487
"beauty",0.971269120241565
"perfectly",0.970262555156038
"lasts",0.956987723338916
"reading",0.954870635916207
"travelling",0.951864132087849
"high",0.922436013793174
"bigger",0.918178960313603
"mom",0.907900026624421
"palm",0.900177567756713
"basic",0.89596323106759
"portable",0.888850217442769
"solid",0.885125468913561
"barrier",0.867925456160149
"tablet",0.864895690015311
"deal",0.839755116130696
"heavy",0.835400000324134
"enjoy",0.824660277863809
"outstanding",0.800598239177085
"build",0.800031442847522
"showed",0.791372913960627
"reviews",0.779832603190968
"size",0.771812143993416
"reminder",0.762132563993548
"airtime",0.760624852375339
"ipad",0.758909388810745
"friday",0.755508912039492
"smart",0.743200424306128
"witch",0.737397738466483
"arrived",0.729756895723026
"smaller",0.729326655588435
"test",0.724900647756732
"wow",0.72015679936265
"direct",0.70261833884369
"htc",0.695427670435047
"heshe",0.689619769226706
"performs",0.672253361793867
"pleased",0.64840142124689
"expensive",0.63145706338683
"travel",0.629921470710517
"features",0.617477482679947
"familiar",0.609401727351629
"goodso",0.608825904566837
"bright",0.593315373216182
"smooth",0.58240875794593
"earlier",0.575713578147108
"years",0.56990965456611
"anywayim",0.567141931953064
"vast",0.565171284063233
"cancelar",0.558542771104155
"hearing",0.558264641918843
"average",0.541986696483439
"managed",0.533256762587183
"excessive",0.510289415234811
"networking",0.50981274796768
"estoy",0.50735294757988
"lumia",0.507108432863004
"androids",0.50592651432661
"otter",0.504095420026995
"complain",0.502271863129734
"glad",0.497206896330064
"fine",0.495032529091834
"speed",0.487914056588179
"technology",0.484187196247135
"hand",0.472145198313211
"nervious",0.468058358880654
"algo",0.461439287641924
"flagship",0.457430514275734
"betterinstead",0.456759207381004
"good",0.438555184882458
"conrol",0.436497284008681
"calendar",0.430964451574502
"media",0.408347929429153
"amazes",0.404313014458336
"nexus",0.389415132976329
"needed",0.387693015302826
"xperia",0.369594491824856
"fan",0.366605325634081
"social",0.358865510410879
"hands",0.348956608383792
"loud",0.3434768322111
"rules",0.327919252995931
"reaally",0.308377662929509
"doubles",0.304145754013979
"unique",0.300584364798552
"attack",0.298180651687624
"shell",0.293101377897296
"worthy",0.292091251489789
"wellgot",0.289250424839966
"nano",0.270116057315596
"fence",0.258712748021666
"anouther",0.257858483235275
"accurateif",0.257403829835414
"hooked",0.2565320999524
"downloaded",0.242921127170358
"cantidad",0.238737853828143
"ease",0.233221602547826
"marginal",0.226026434603922
"iphone",0.215330062613543
"tiny",0.207113922056219
"performed",0.206826434610886
"serves",0.2045189496865
"pleasant",0.203661221282205
"agan",0.199304659216878
"radio",0.191321892509735
"upgradeable",0.191232902126431
"saturday",0.181064050972512
"coworker",0.177886802337407
"experiences",0.177103246679621
"lte",0.176028233676173
"beats",0.1717731699391
"term",0.170233546071248
"withe",0.170030265404326
"bevel",0.16708637087518
"problems",0.163477345177139
"moreonly",0.162603071803592
"recibido",0.162411971743327
"board",0.160726843929706
"rating",0.159222813160103
"headaches",0.153351550737364
"circle",0.149038488063633
"condeson",0.142399407798729
"sym",0.141889894796641
"lands",0.141249683204467
"bien",0.140109183363584
"things",0.115151543714352
"prices",0.113146809327781
"tripled",0.111549032792435
"highly",0.108324111769017
"added",0.106517857018745
"pixel",0.105357699139828
"upgraded",0.104227163775702
"lightweight",0.0997487610926573
"mart",0.0954031778889713
"fairly",0.0947419897024625
"shots",0.0933763725536007
"strong",0.0922713987992534
"amused",0.0916836353082575
"onoff",0.0894481542980458
"aid",0.0894111276030076
"reembolsarme",0.0852505780259743
"fin",0.0850887132592607
"justo",0.0830123878224535
"user",0.0817780678131551
"duty",0.0790745694187596
"recommended",0.07438133499917
"rugged",0.0742178011256382
"functions",0.0740149854037637
"recorder",0.0711210435088738
"phablets",0.069712541463661
"cliff",0.0686089747986088
"fresh",0.0682833106078411
"argentina",0.067695528348943
"yetpurchased",0.0676126825364318
"fasti",0.0660363098870135
"asiathanks",0.0617853957900618
"phoneits",0.0569571907848271
"cam",0.0506751052033262
"crackef",0.0492529399068141
"smarter",0.0472537283285706
"wal",0.0392887896527247
"wat",0.0373321118718762
"butt",0.034188707777156
"ten",0.0317973018622105
"iver",0.0305409609497981
"fighting",0.0285252149852624
"calculate",0.0269537231513476
"girlfriend",0.0268835715970011
"considerable",0.0233861659690587
"don‰Ûªt",0.022745875867615
"flew",0.0213713386466815
"muy",0.0204373758048451
"questionim",0.0190368772097043
"parked",0.0183685591413358
"timer",0.015441527235585
"easey",0.015096067887462
"jus",0.0127878486889618
"reimburse",0.0125091675849431
"natural",0.0124999184261502
"brained",0.0111382867364197
"roadtrip",0.0086262144968448
"costo",0.00798874292643382
"fue",0.00797617963332757
"ofertadothe",0.00772906582378964
"greg",0.00699060526782058
"powerful",0.00685295072222401
"unbelivablebeautiful",0.00590092966243671
"transportation",0.00509937032708921
"dropoed",0.00498955588240663
"reasonsloud",0.00477371212748884
"todo",0.00331025402279927
"papania",0.00265942097728996
"dimentions",0.00233793866963614
"planfastin",0.00156273114000047
"simi",0.00148812359365082
"designrecommend",0.00140451829782186
"surgerys",0.00116377773165291
